Player, Team, Pts, Reb, Ast, Stl, Blk, eFG%, TS%, USG%, O-Rt, D-Rt, DRE/36, PER
Trey Lyles, UTA, 6.17%, 8.53%, 4.04%, 4.17%, 4.36%, 49.40%, 51.70%, 17.90%, 101.9, 105.3, -1.66, 11.6, 
Dante Cunningham, NO, 5.75%, 6.75%, 4.24%, 6.64%, 9.65%, 51.80%, 54.00%, 11.00%, 109.2, 112.3, -1.14, 8.6, 
Josh Smith, HOU, 3.79%, 5.18%, 4.92%, 4.06%, 10.67%, 42.30%, 43.90%, 22.50%, 87.4, 103.8, -2.69, 10.3, 
Trevor Booker, UTA, 5.80%, 12.70%, 5.35%, 9.29%, 9.69%, 50.50%, 53.30%, 14.60%, 109.4, 102.6, -0.01, 14.4, 
Channing Frye, CLE, 4.75%, 6.27%, 3.64%, 5.24%, 9.17%, 56.90%, 58.60%, 15.30%, 113, 105.9, 0.76, 13, 
Paul Pierce, LAC, 4.62%, 5.15%, 3.64%, 4.61%, 3.48%, 45.70%, 48.90%, 17.70%, 93.3, 105.3, -2.31, 8.2, 
Dwight Powell, DAL, 4.78%, 7.82%, 2.51%, 6.27%, 7.59%, 49.70%, 55.70%, 18.40%, 113.8, 103.9, 1.69, 16.8, 
Rondae Hollis-Jefferson, BKN, 2.06%, 4.43%, 2.35%, 6.22%, 4.83%, 47.10%, 51.90%, 13.30%, 106.7, 103.3, 2.00, 14.1, 
Amare Stoudemire, MIA, 3.64%, 5.91%, 1.49%, 3.62%, 7.69%, , , , , , 1.18, , 
Richaun Holmes, PHI, 3.59%, 3.99%, 1.87%, 2.79%, 8.08%, 53.20%, 56.40%, 17.80%, 111.8, 110.1, 1.14, 15.8, 
Jarell Martin, MEM, 1.92%, 2.60%, 0.91%, 1.45%, 1.91%, , , , , , -0.99, , 
Larry Nance, LAL, 4.35%, 8.86%, 3.03%, 9.01%, 6.93%, , , , , , 0.72, , 
Richard Jefferson, CLE, 4.72%, 3.54%, 3.18%, 5.76%, 4.28%, 56.40%, 58.50%, 13.40%, 111.6, 106.9, -0.61, 9.7, 
Anthony Tolliver, DET, 4.44%, 5.94%, 3.12%, 4.43%, 5.40%, 53.30%, 54.30%, 12.40%, 113.3, 107.4, -0.61, 10.2, 
Quincy Acy, SAC, 3.53%, 5.16%, 1.31%, 3.99%, 6.63%, 60.00%, 62.90%, 13.10%, 123.9, 109.9, 2.26, 14.6, 
Charlie Villanueva, DAL, 3.70%, 4.15%, 1.30%, 3.05%, 4.75%, 45.40%, 47.30%, 25.10%, 91.8, 105.6, -2.15, 11.8, 
Nemanja Bjelica, MIN, 3.67%, 6.16%, 4.33%, 3.96%, 5.60%, 57.00%, 59.40%, 12.80%, 113.4, 110, 0.27, 11.2, 
JaKarr Sampson, DEN, 4.48%, 5.19%, 2.48%, 3.78%, 8.35%, 46.40%, 50.40%, 16.60%, 93.9, 110.1, -2.82, 8.3, 
Lavoy Allen, IND, 4.85%, 11.34%, 4.20%, 3.42%, 10.09%, 51.60%, 53.20%, 13.00%, 109.6, 104.5, -1.22, 12.3, 
James Johnson, TOR, 3.24%, 3.25%, 4.16%, 4.03%, 6.98%, 51.70%, 53.20%, 15.90%, 100.5, 106.8, -0.94, 11.4, 
Metta World Peace, LAL, 2.17%, 2.53%, 1.79%, 3.74%, 3.31%, 38.40%, 43.50%, 16.20%, 94.5, 110.1, -1.71, 8.3, 
Alan Anderson, WAS, 0.76%, 0.79%, 0.70%, 0.56%, 0.31%, , , , , , -0.33, , 
Solomon Hill, IND, 3.35%, 5.02%, 3.50%, 4.94%, 2.58%, 50.50%, 54.30%, 13.20%, 109.8, 104.4, 0.61, 12.2, 
Kyle O’Quinn, NYK, 3.83%, 6.87%, 4.28%, 4.28%, 10.52%, 48.50%, 52.00%, 21.20%, 102.2, 102.1, 0.24, 17.4, 
Jonas Jerebko, BOS, 4.30%, 8.41%, 3.41%, 2.83%, 7.37%, 48.80%, 53.10%, 13.50%, 106.9, 104.2, -0.96, 10.3, 
Willie Reed, BKN, 2.25%, 3.51%, 0.55%, 0.96%, 9.06%, , , , , , 1.89, , 
Chris McCullough, BKN, 1.38%, 1.96%, 0.49%, 4.47%, 3.63%, , , , , , 0.95, , 
Kyle Anderson, SA, 4.04%, 7.00%, 6.09%, 8.74%, 5.99%, 48.80%, 52.80%, 14.40%, 104, 96.8, 0.87, 12.9, 
Alonzo Gee, NO, 3.83%, 7.01%, 4.02%, 9.95%, 3.80%, 55.10%, 57.20%, 9.20%, 108.2, 109.7, -0.53, 8.4, 
Thomas Robinson, BKN, 3.80%, 10.32%, 2.52%, 6.22%, 10.88%, 44.70%, 45.30%, 19.90%, 93.8, 105.5, -1.21, 14.5, 
Joe Ingles, UTA, 4.30%, 4.31%, 6.26%, 8.81%, 0.97%, 56.50%, 57.20%, 13.50%, 105.2, 104.9, -0.17, 10.3, 
Ryan Kelly, LAL, 1.93%, 3.48%, 1.38%, 2.21%, 3.01%, , , , , , -2.08, , 
Elton Brand, PHI, 0.88%, 1.86%, 1.02%, 1.32%, 1.62%, , , , , , -0.28, , 
Chase Budinger, PHO, 3.28%, 4.08%, 3.76%, 5.06%, 3.19%, 48.50%, 51.40%, 14.20%, 102.9, 106.3, -1.03, 10.6, 
Kelly Oubre, WAS, 2.77%, 3.88%, 0.65%, 2.96%, 2.17%, , , , , , -1.86, , 
Chris Andersen, MEM, 1.42%, 3.61%, 0.85%, 2.25%, 4.37%, , , , , , 1.27, , 
Christian Wood, PHI, 0.76%, 1.12%, 0.17%, 0.74%, 1.41%, , , , , , 1.54, , 
James Jones, CLE, 2.01%, 1.31%, 0.72%, 1.92%, 3.06%, , , , , , 0.39, , 
Glenn Robinson, IND, 1.99%, 1.76%, 1.40%, 2.15%, 2.35%, 47.70%, 50.80%, 16.00%, 102.7, 105.3, -0.50, 11.3, 
Caron Butler, SAC, 0.73%, 0.61%, 0.50%, 1.24%, 0.28%, , , , , , 0.90, , 
Montrezl Harrell, HOU, 1.56%, 1.78%, 0.89%, 1.27%, 2.44%, , , , , , 1.29, , 
Tarik Black, LAL, 1.69%, 4.52%, 1.10%, 2.38%, 5.42%, , , , , , -0.05, , 
Cristiano Da Silva Felicio, CHI, 1.26%, 2.69%, 1.39%, 1.21%, 2.77%, , , , , , 2.15, , 
Noah Vonleh, POR, 3.01%, 7.60%, 1.67%, 4.91%, 6.57%, 44.10%, 47.10%, 13.00%, 98.3, 107.7, -2.29, 8.6, 
Josh McRoberts, MIA, 1.77%, 2.98%, 4.79%, 3.45%, 1.57%, 41.20%, 45.30%, 14.90%, 99, 104.3, -1.36, 9.7, 
Kyle Singler, OKC, 2.38%, 3.38%, 1.20%, 4.55%, 1.78%, 45.70%, 48.10%, 11.80%, 102.4, 108.9, -2.30, 6.6, 
Mike Muscala, ATL, 2.34%, 3.51%, 1.63%, 1.52%, 5.23%, 53.90%, 57.60%, 15.70%, 110.8, 102.3, 0.37, 13.7, 
Kevin Garnett, MIN, 1.45%, 4.40%, 3.24%, 4.27%, 2.67%, 47.00%, 49.10%, 11.40%, 107, 102, 2.03, 12.4, 
Luc Richard Mbah a Moute, LAC, 2.62%, 4.86%, 1.57%, 6.18%, 3.89%, , , , , , -1.62, , 
Johnny O’Bryant, MIL, 2.46%, 5.12%, 1.64%, 2.68%, 1.68%, 41.40%, 44.10%, 13.60%, 95.5, 111.6, -3.16, 7.4, 
Jason Thompson, TOR, 1.70%, 3.57%, 1.80%, 1.79%, 4.23%, , , , , , 1.58, , 
Chris Johnson, UTA, 2.59%, 3.77%, 2.93%, 5.13%, 4.84%, 44.10%, 48.20%, 13.60%, 96.2, 103.7, -1.66, 8.1, 
Tayshaun Prince, MIN, 2.63%, 4.31%, 3.81%, 5.49%, 3.47%, 45.40%, 46.60%, 8.10%, 99.8, 113.1, -2.26, 6.3, 
James McAdoo, GSW, 1.18%, 1.55%, 0.72%, 1.77%, 1.91%, , , , , , 1.70, , 
Drew Gooden, WAS, 0.96%, 2.48%, 0.65%, 1.13%, 3.42%, , , , , , -3.76, , 
Jeremy Evans, DAL, 0.80%, 1.46%, 0.10%, 1.02%, 2.85%, , , , , , 0.72, , 
Adreian Payne, MIN, 1.57%, 3.29%, 1.51%, 2.44%, 2.93%, , , , , , -3.96, , 
K.J. McDaniels, HOU, 1.07%, 1.30%, 0.58%, 0.81%, 2.00%, , , , , , -2.13, , 
Jarell Eddie, WAS, 0.74%, 0.67%, 0.25%, 0.71%, 0.31%, , , , , , -0.51, , 
Greg Smith, MIN, 0.51%, 1.23%, 0.31%, 0.61%, 0.27%, , , , , , -1.50, , 
Damjan Rudez, MIN, 0.89%, 0.59%, 0.57%, 0.46%, 0.27%, , , , , , -3.04, , 
Tyler Hansbrough, CHA, 1.16%, 2.35%, 0.44%, 1.92%, 1.55%, , , , , , 0.25, , 
Cleanthony Early, NYK, 0.38%, 0.71%, 0.36%, 0.43%, 0.64%, , , , , , -6.33, , 
Devyn Marble, ORL, 0.72%, 1.07%, 0.62%, 1.93%, 0.24%, , , , , , -2.74, , 
Nick Collison, OKC, 1.29%, 4.14%, 2.71%, 3.45%, 3.16%, 45.90%, 49.80%, 10.70%, 99.3, 107.2, -2.33, 7.8, 
Damien Inglis, MIL, 0.44%, 0.91%, 0.53%, 0.89%, 0.63%, , , , , , -3.03, , 
Lou Amundson, NYK, 0.64%, 1.35%, 0.71%, 1.28%, 1.50%, , , , , , -4.23, , 
Udonis Haslem, MIA, 0.71%, 2.24%, 0.83%, 0.86%, 0.35%, , , , , , -1.89, , 
Mike Miller, DEN, 0.75%, 1.45%, 2.15%, 2.13%, 1.01%, , , , , , -0.99, , 
