Player, Team, Pts, Reb, Ast, Stl, Blk, eFG%, TS%, USG%, O-Rt, D-Rt, DRE/36, PER
Rajon Rondo, SAC, 9.87%, 11.97%, 41.49%, 19.28%, 2.76%, 49.40%, 50.60%, 18.80%, 104.5, 107.5, 1.92, 16.8, 
Jeremy Lin, CHA, 11.15%, 7.10%, 13.61%, 10.06%, 9.09%, 46.40%, 53.40%, 22.20%, 102.3, 105.5, -0.62, 13.7, 
Tony Parker, SA, 9.95%, 4.85%, 19.20%, 7.77%, 2.06%, 51.20%, 54.60%, 21.20%, 109, 103, 0.47, 16.1, 
Michael Carter-Williams, MIL, 7.67%, 8.07%, 14.72%, 11.92%, 8.61%, 46.60%, 49.70%, 21.20%, 96.2, 107.2, -0.35, 13.9, 
Bojan Bogdanovic, BKN, 10.97%, 7.33%, 5.41%, 4.63%, 1.51%, 51.90%, 55.00%, 19.40%, 101.6, 115, -2.15, 10.7, 
Isaiah Canaan, PHI, 10.59%, 5.14%, 7.76%, 8.24%, 2.42%, 48.20%, 52.80%, 19.80%, 102.1, 112.5, -0.95, 11, 
C.J. Miles, IND, 8.68%, 5.15%, 3.61%, 6.84%, 7.04%, 52.10%, 54.70%, 22.70%, 104.4, 104.6, 0.01, 13.9, 
Dennis Schroder, ATL, 10.34%, 5.65%, 16.15%, 9.26%, 1.68%, 47.10%, 51.00%, 28.90%, 97.2, 103, -0.74, 15.5, 
J.J. Barea, DAL, 9.40%, 4.26%, 16.75%, 4.41%, 0.63%, 51.60%, 53.60%, 23.70%, 106.4, 111.5, -0.89, 15.4, 
Elfrid Payton, ORL, 9.30%, 7.35%, 24.26%, 13.20%, 4.80%, 45.60%, 47.80%, 20.30%, 99.8, 108, -0.54, 13.9, 
Trey Burke, UTA, 8.45%, 3.20%, 9.32%, 5.45%, 1.45%, 48.30%, 50.70%, 25.30%, 102.8, 109, -1.61, 14, 
Norris Cole, NO, 5.66%, 4.32%, 9.24%, 5.85%, 1.46%, 43.90%, 46.50%, 21.80%, 94.2, 109.6, -2.07, 10.8, 
Jerryd Bayless, MIL, 6.66%, 4.13%, 8.60%, 7.00%, 2.52%, 53.90%, 56.80%, 16.70%, 110.1, 113.1, 0.21, 12.5, 
Marco Belinelli, SAC, 7.98%, 3.21%, 6.39%, 4.96%, 0.55%, 45.70%, 50.00%, 19.70%, 98.7, 113, -2.29, 9.4, 
Ricky Rubio, MIN, 9.12%, 9.57%, 34.29%, 24.70%, 2.67%, 42.70%, 52.90%, 17.70%, 110.2, 107.2, 3.47, 17.6, 
Allen Crabbe, POR, 9.57%, 5.89%, 5.71%, 11.17%, 4.29%, 54.10%, 57.20%, 16.40%, 113.5, 110.7, 0.24, 12.2, 
Dion Waiters, OKC, 8.55%, 5.13%, 8.32%, 13.34%, 3.16%, 46.00%, 49.20%, 17.70%, 99.3, 109.5, -1.71, 9.4, 
Ramon Sessions, WAS, 9.49%, 5.95%, 11.97%, 6.63%, 1.55%, 50.30%, 56.50%, 21.80%, 109.1, 108.7, 0.87, 15.8, 
Raymond Felton, DAL, 9.46%, 7.57%, 16.02%, 12.54%, 4.75%, 45.00%, 50.20%, 18.40%, 101.7, 108.8, -0.96, 11.8, 
Hollis Thompson, PHI, 9.49%, 8.10%, 5.61%, 5.29%, 4.85%, 50.70%, 52.50%, 16.20%, 101.4, 112.5, -1.77, 9.2, 
Marcus Thornton, WAS, 6.91%, 4.37%, 4.24%, 6.63%, 1.24%, 48.20%, 51.10%, 24.50%, 103.9, 109.3, 0.38, 14.7, 
Patrick Beverley, HOU, 7.93%, 7.25%, 13.13%, 11.12%, 6.22%, 53.90%, 55.30%, 15.30%, 113.6, 110.2, 1.07, 13, 
Courtney Lee, CHA, 9.19%, 5.94%, 7.92%, 14.70%, 6.87%, 51.80%, 55.10%, 14.90%, 107.3, 107.8, -0.15, 11.4, 
Terrence Ross, TOR, 8.50%, 5.15%, 3.72%, 8.36%, 5.71%, 53.60%, 55.10%, 18.30%, 109.4, 107.4, 0.04, 13, 
Kyle Korver, ATL, 8.96%, 7.83%, 7.74%, 8.88%, 6.92%, 56.30%, 57.80%, 13.70%, 103.9, 105.2, -0.29, 9.7, 
Manu Ginobili, SA, 6.53%, 4.25%, 9.04%, 9.57%, 2.25%, 53.30%, 57.30%, 23.40%, 107.2, 98.5, 2.62, 17.7, 
Kevin Martin, SA, 5.94%, 2.94%, 2.86%, 3.74%, 0.56%, 43.10%, 52.00%, 22.70%, 102.8, 110.4, -1.70, 11.6, 
Marcus Smart, BOS, 6.61%, 7.00%, 9.65%, 12.85%, 5.79%, 40.50%, 46.30%, 17.40%, 100.9, 104.4, -0.28, 11.3, 
Austin Rivers, LAC, 7.15%, 3.92%, 5.81%, 6.71%, 2.05%, 49.80%, 52.30%, 19.40%, 101.2, 108.2, -0.87, 11, 
Archie Goodwin, PHO, 6.11%, 3.86%, 6.88%, 4.27%, 4.15%, 44.40%, 49.80%, 23.00%, 95.2, 112.7, -2.99, 11, 
Shelvin Mack, UTA, 5.57%, 3.65%, 12.06%, 5.13%, 0.73%, 48.60%, 50.70%, 23.10%, 97.8, 105.6, -1.51, 13, 
Toney Douglas, NO, 6.33%, 4.09%, 8.53%, 11.06%, 1.46%, 50.20%, 54.30%, 19.20%, 108.5, 109.3, 1.98, 14.5, 
